libelle_departement,HT22,HT022,HT122,HT222,HT322,HT422,HT522,HTCH22,HTCH022,HTCH122,HTCH222,HTCH322,HTCH422,HTCH522,CPG22,CPG022,CPG122,CPG222,CPG322,CPG422,CPG522,CPGE22,CPGE022,CPGE122,CPGE222,CPGE322,CPGE422,CPGE522,CPGEL22,CPGEL022,CPGEL122,CPGEL222,CPGEL322,CPGEL422,CPGEL522,CPGEO22,CPGEO022,CPGEO122,CPGEO222,CPGEO322,CPGEO422,CPGEO522,VV22,VVUH22,VVLIT22,RT22,RTUH22,RTLIT22,AJCS22,AJCSUH22,AJCSLIT22,PMUN19,PMUN18,PMUN17,PMUN16,PMUN15,PMUN14,PMUN13,PMUN12,PMUN11,PMUN10,PMUN09,PMUN08,PMUN07,PMUN06,PSDC99,PSDC90,PSDC82,PSDC75,PSDC68,PSDC62,PTOT54,PTOT36,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
Ain,140,47,1,32,50,8,2,4183,1006,18,1001,1485,581,92,62,16,2,8,29,7,0,6130,601,87,639,3434,1369,0,1161,149,40,269,609,94,0,4969,452,47,370,2825,1275,0,2,113,572,13,1091,3091,1,20,110,652432,647634,643350,638425,631877,626127,619497,612191,603827,597341,588853,581355,574377,566740,515270,471019,418516,376477,339262,314457,300998.0,306718.0,313656.0,310275.0,309610.0,335271.0,338686.0,343179.0,345516.0,350841.0,357207.0,356980.0,358298.0
Aisne,61,24,2,10,20,4,1,1850,502,109,310,709,191,29,28,10,0,9,7,1,1,2229,314,0,605,550,100,660,312,66,0,150,72,8,16,1917,248,0,455,478,92,644,0,0,0,3,839,4461,1,10,60,531264,533236,534412,536064,538593,539674,539960,540781,541194,540395,539750,538665,537689,536931,535377,537155,533878,533743,525869,512454,486607.0,484123.0,488902.0,488541.0,420971.0,529675.0,533917.0,534977.0,540957.0,544811.0,555326.0,556173.0,559124.0
Allier,101,33,1,20,37,8,2,3074,610,10,721,1290,295,148,74,45,8,3,14,4,0,3188,1381,304,180,1064,259,0,73,21,1,16,35,0,0,3115,1360,303,164,1029,259,0,4,64,236,3,163,421,5,204,464,335975,337171,337988,339384,341613,343062,343431,342911,342729,342908,343046,342807,343114,343309,344721,357710,369580,378406,386533,380221,372689.0,368778.0,373924.0,370562.0,370950.0,406291.0,417961.0,422024.0,424378.0,424382.0,424582.0,416759.0,405783.0
Alpes-Maritimes,596,121,11,97,208,132,27,26203,2275,334,2643,8555,9924,2472,65,13,2,10,27,13,0,5599,653,56,521,2644,1725,0,1108,287,26,77,240,478,0,4491,366,30,444,2404,1247,0,18,1480,5481,97,5799,21216,3,101,513,1094283,1086219,1083310,1083704,1082440,1083312,1080771,1082014,1081244,1078729,1079100,1084428,1082465,1073184,1011326,971829,881198,816681,722070,618265,515484.0,518083.0,497175.0,440105.0,363663.0,362784.0,339406.0,297562.0,268963.0,261837.0,241810.0,230854.0,208324.0
Alpes-de-Haute-Provence,147,41,2,49,43,10,2,3215,588,20,1035,1154,354,64,127,36,7,24,41,16,3,11984,1101,337,2200,4299,3207,840,901,25,1,404,340,124,7,11083,1076,336,1796,3959,3083,833,14,881,3177,27,1549,5859,4,88,268,164308,164068,163915,162565,161799,161588,161916,161241,160959,160149,159450,157965,156067,154501,139561,130883,119068,112178,104813,91843,84335.0,85090.0,87893.0,88347.0,91882.0,107231.0,113126.0,115021.0,118142.0,124285.0,129494.0,131899.0,136166.0
Ardennes,53,29,0,8,12,4,0,1170,572,0,194,291,113,0,34,20,0,4,7,2,1,2405,833,0,221,1112,144,95,353,108,0,99,92,11,43,2052,725,0,122,1020,133,52,0,0,0,1,14,14,0,0,0,270582,271845,273579,275371,277752,279715,280907,282778,283110,283250,283296,284197,284749,285653,290130,296357,302338,309306,309380,300247,280490.0,288632.0,293746.0,297448.0,277811.0,318896.0,317505.0,315589.0,318865.0,324923.0,332759.0,333675.0,326782.0
Ardèche,150,61,4,34,43,8,0,2937,883,58,800,1023,173,0,283,69,5,46,108,42,13,24143,2663,245,2663,8437,6135,4000,1985,337,30,209,780,382,247,22158,2326,215,2454,7657,5753,3753,10,945,4295,8,645,3083,1,17,31,328278,326606,325712,325157,324209,322381,320379,318407,317277,315090,313578,311452,309456,306238,286023,277581,267970,257065,256927,248516,249077.0,272698.0,282911.0,289263.0,294308.0,331801.0,347140.0,353564.0,363501.0,371269.0,375472.0,376907.0,384378.0
Ariège,53,17,1,21,12,2,0,950,251,12,413,258,16,0,70,19,2,14,29,6,0,4846,632,90,970,2332,822,0,898,95,0,312,428,63,0,3948,537,90,658,1904,759,0,7,435,1812,13,746,3194,8,188,658,153287,153066,153153,153067,152499,152574,152684,152366,152286,152038,151117,150201,148568,146289,137205,136455,135725,137857,138478,137192,140010.0,155134.0,161265.0,167498.0,172851.0,198725.0,205684.0,210527.0,219641.0,227491.0,237619.0,240601.0,244795.0
Aube,67,14,1,19,25,7,1,2291,335,42,711,816,376,11,21,9,1,6,3,2,0,1766,546,204,436,117,463,0,365,160,46,40,0,119,0,1401,386,158,396,117,344,0,3,124,424,0,0,0,4,135,402,310242,310020,310020,308910,309056,308094,306581,305606,303997,303327,303298,301327,300840,299704,292131,289207,289300,284823,270325,255099,240797.0,239563.0,242596.0,238253.0,227839.0,240755.0,243670.0,246163.0,251435.0,255548.0,257374.0,255326.0,255217.0
Aude,128,37,2,26,47,13,3,3733,599,82,996,1359,531,166,81,16,2,17,33,12,1,10255,540,39,2450,3250,3759,217,1577,57,0,961,308,251,0,8678,483,39,1489,2942,3508,217,12,819,3551,22,2047,8449,4,94,349,374070,372806,370260,368025,366957,365478,364877,362339,359967,356467,353980,349237,345779,341022,309770,298712,280686,272366,278323,269782,268254.0,285115.0,296880.0,291951.0,287052.0,300537.0,308327.0,313531.0,310513.0,317372.0,332080.0,327988.0,300065.0
